dataset.name,dataset.root,train.batch_size,train.epochs,train.lr,train.optimizer,train.weight_decay,train.save_every,train.num_workers,train.ft_all,train.max_classes,train.threshold,train.margin,train.freeze_text,train.use_distill,MODEL.TRANSFER_TYPE,MODEL.USE_PROMPT,MODEL.PROMPT.NUM_PREFIX,MODEL.PROMPT.NUM_SUFFIX,MODEL.PROMPT.NUM_TOKENS,MODEL.PROMPT.LOCATION,MODEL.PROMPT.INITIATION,MODEL.PROMPT.CLSEMB_FOLDER,MODEL.PROMPT.CLSEMB_PATH,MODEL.PROMPT.PROJECT,MODEL.PROMPT.DEEP,MODEL.PROMPT.LOG,MODEL.PROMPT.NUM_DEEP_LAYERS,MODEL.PROMPT.REVERSE_DEEP,MODEL.PROMPT.DEEP_SHARED,MODEL.PROMPT.FORWARD_DEEP_NOEXPAND,MODEL.PROMPT.HEAD,MODEL.PROMPT.HEAD_CLASS,MODEL.PROMPT.TRAINABLE_PARM,MODEL.PROMPT.VIT_POOL_TYPE,MODEL.PROMPT.DROPOUT,MODEL.PROMPT.SAVE_FOR_EACH_EPOCH,loss.add_weight,loss.distill_layer,wandb.enable,wandb.project,wandb.name,model_name,semantic_templates,attn_type,fuse_feature,size,logit_scale,bkg_thre,select_layer,sliding_crop_size,attention_thr,segmentation_threshold,class_threshold,mode,checkpoint_path,PixelAccuracy,StrokeAccuracy,mIoU,timestamp
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,v-v,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.79621,0.81996,0.65705,2025-12-30 17:12:36
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,True,none,False,5,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,7,True,sketch-cliper-project,debug_run_1220,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/KDSketchSeg/checkpoint/debug_run_1220/model_20.pth,0.73794,0.78983,0.5979,2025-12-30 18:53:49
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,none,True,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,14_run4_prompt,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/14_run4_prompt/model_20.pth,0.26168,0.27635,0.14015,2026-01-05 09:05:31
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,none,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,14_run4_prompt,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/14_run4_prompt/model_20.pth,0.73794,0.78983,0.5979,2026-01-05 09:31:45
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,none,True,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,14_run4_prompt,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/14_run4_prompt/model_20.pth,0.2702,0.28373,0.1434,2026-01-05 10:32:23
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,none,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,14_run4_prompt,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/14_run4_prompt/model_20.pth,0.82252,0.83933,0.67222,2026-01-05 14:31:44
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,none,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,15_run3_reclass,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/15_run3_reclass/model_20.pth,0.80914,0.8282,0.66767,2026-01-06 17:05:34
FSCOCOSeg,/media/xiaoyi/系统/Sketchdata/train,8,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,none,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,debug_17_run0,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/debug_17_run0/model_20.pth,0.83388,0.84425,0.68848,2026-01-07 18:00:30
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,8,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,none,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,17_run1,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/17_run1/model_20.pth,0.83093,0.84549,0.68478,2026-01-08 08:49:52
FSCOCOSeg,/home/xiaoyi/project/OpenSketchSeg/DATA/fscoco-seg/train,4,20,1e-6,adamw,1e-4,5,8,True,3,0.4,0.5,True,False,False,prompt,False,8,0,0,prepend,random,,,-1,False,train_run1,,False,False,False,False,False,"prompt,head",original,0.1,False,0.1,"[7, 10]",True,sketch-cliper-project,110_run3,ViT-B/16,template/car_template.txt,fused-attn,True,224,150,0,-1,0,0.12,0.4,0.5,test,/home/xiaoyi/PycharmProjects/SceneSketch/checkpoint/110_run3/model_20.pth,0.80043,0.81149,0.65475,2026-01-12 09:36:39
